rank,country_full,country_abrv,total_points,confederation,rank_date,wc_year
1,Germany,GER,60.0,UEFA,1994-06-14,1994
2,Netherlands,NED,59.0,UEFA,1994-06-14,1994
3,Brazil,BRA,59.0,CONMEBOL,1994-06-14,1994
4,Italy,ITA,57.0,UEFA,1994-06-14,1994
5,Spain,ESP,56.0,UEFA,1994-06-14,1994
6,Norway,NOR,56.0,UEFA,1994-06-14,1994
7,Romania,ROU,55.0,UEFA,1994-06-14,1994
8,Argentina,ARG,55.0,CONMEBOL,1994-06-14,1994
9,Denmark,DEN,55.0,UEFA,1994-06-14,1994
10,Sweden,SWE,55.0,UEFA,1994-06-14,1994
11,Nigeria,NGA,54.0,CAF,1994-06-14,1994
12,Switzerland,SUI,54.0,UEFA,1994-06-14,1994
13,France,FRA,53.0,UEFA,1994-06-14,1994
14,Republic of Ireland,IRL,53.0,UEFA,1994-06-14,1994
15,England,ENG,52.0,UEFA,1994-06-14,1994
16,Mexico,MEX,51.0,CONCACAF,1994-06-14,1994
17,Colombia,COL,51.0,CONMEBOL,1994-06-14,1994
18,Uruguay,URU,50.0,CONMEBOL,1994-06-14,1994
19,Russia,RUS,50.0,UEFA,1994-06-14,1994
20,Zambia,ZAM,49.0,CAF,1994-06-14,1994
21,Cote d'Ivoire,CIV,47.0,CAF,1994-06-14,1994
22,Portugal,POR,47.0,UEFA,1994-06-14,1994
23,USA,USA,47.0,CONCACAF,1994-06-14,1994
24,Cameroon,CMR,46.0,CAF,1994-06-14,1994
25,Egypt,EGY,45.0,CAF,1994-06-14,1994
26,Ghana,GHA,44.0,CAF,1994-06-14,1994
27,Belgium,BEL,44.0,UEFA,1994-06-14,1994
28,Morocco,MAR,44.0,CAF,1994-06-14,1994
29,Bulgaria,BUL,44.0,UEFA,1994-06-14,1994
30,Tunisia,TUN,42.0,CAF,1994-06-14,1994
31,Greece,GRE,41.0,UEFA,1994-06-14,1994
32,Poland,POL,41.0,UEFA,1994-06-14,1994
33,Scotland,SCO,40.0,UEFA,1994-06-14,1994
34,Saudi Arabia,KSA,40.0,AFC,1994-06-14,1994
35,Wales,WAL,39.0,UEFA,1994-06-14,1994
36,Austria,AUT,38.0,UEFA,1994-06-14,1994
37,Korea Republic,KOR,38.0,AFC,1994-06-14,1994
38,Iceland,ISL,38.0,UEFA,1994-06-14,1994
39,Ecuador,ECU,37.0,CONMEBOL,1994-06-14,1994
40,Chile,CHI,37.0,CONMEBOL,1994-06-14,1994
41,Northern Ireland,NIR,37.0,UEFA,1994-06-14,1994
42,Zimbabwe,ZIM,35.0,CAF,1994-06-14,1994
43,Bolivia,BOL,35.0,CONMEBOL,1994-06-14,1994
44,Slovakia,SVK,35.0,UEFA,1994-06-14,1994
45,Czech Republic,CZE,35.0,UEFA,1994-06-14,1994
46,Finland,FIN,35.0,UEFA,1994-06-14,1994
47,Australia,AUS,34.0,AFC,1994-06-14,1994
48,Algeria,ALG,34.0,CAF,1994-06-14,1994
49,Mali,MLI,34.0,CAF,1994-06-14,1994
50,Honduras,HON,34.0,CONCACAF,1994-06-14,1994
51,Costa Rica,CRC,34.0,CONCACAF,1994-06-14,1994
52,Japan,JPN,33.0,AFC,1994-06-14,1994
53,Israel,ISR,32.0,UEFA,1994-06-14,1994
54,Canada,CAN,31.0,CONCACAF,1994-06-14,1994
55,Senegal,SEN,31.0,CAF,1994-06-14,1994
56,Hungary,HUN,31.0,UEFA,1994-06-14,1994
57,Turkiye,TUR,31.0,UEFA,1994-06-14,1994
58,IR Iran,IRN,30.0,AFC,1994-06-14,1994
59,China PR,CHN,29.0,AFC,1994-06-14,1994
60,Paraguay,PAR,28.0,CONMEBOL,1994-06-14,1994
61,Guinea,GUI,26.0,CAF,1994-06-14,1994
62,United Arab Emirates,UAE,26.0,AFC,1994-06-14,1994
63,Zaire,ZAI,26.0,CAF,1994-06-14,1994
64,Gabon,GAB,26.0,CAF,1994-06-14,1994
65,Iraq,IRQ,26.0,AFC,1994-06-14,1994
66,Sierra Leone,SLE,24.0,CAF,1994-06-14,1994
67,Peru,PER,24.0,CONMEBOL,1994-06-14,1994
68,El Salvador,SLV,23.0,CONCACAF,1994-06-14,1994
69,Qatar,QAT,23.0,AFC,1994-06-14,1994
70,Jamaica,JAM,23.0,CONCACAF,1994-06-14,1994
71,Korea DPR,PRK,23.0,AFC,1994-06-14,1994
72,Malta,MLT,22.0,UEFA,1994-06-14,1994
73,Cyprus,CYP,22.0,UEFA,1994-06-14,1994
74,Kuwait,KUW,22.0,AFC,1994-06-14,1994
75,Thailand,THA,22.0,AFC,1994-06-14,1994
76,South Africa,RSA,21.0,CAF,1994-06-14,1994
