date,home_team,away_team,home_score,away_score,tournament,country,result
1872-11-30,Scotland,England,0.0,0.0,Friendly,Scotland,D
1873-03-08,England,Scotland,4.0,2.0,Friendly,England,H
1874-03-07,Scotland,England,2.0,1.0,Friendly,Scotland,H
1875-03-06,England,Scotland,2.0,2.0,Friendly,England,D
1876-03-04,Scotland,England,3.0,0.0,Friendly,Scotland,H
1876-03-25,Scotland,Wales,4.0,0.0,Friendly,Scotland,H
1877-03-03,England,Scotland,1.0,3.0,Friendly,England,A
1877-03-05,Wales,Scotland,0.0,2.0,Friendly,Wales,A
1878-03-02,Scotland,England,7.0,2.0,Friendly,Scotland,H
1878-03-23,Scotland,Wales,9.0,0.0,Friendly,Scotland,H
1879-01-18,England,Wales,2.0,1.0,Friendly,England,H
1879-04-05,England,Scotland,5.0,4.0,Friendly,England,H
1879-04-07,Wales,Scotland,0.0,3.0,Friendly,Wales,A
1880-03-13,Scotland,England,5.0,4.0,Friendly,Scotland,H
1880-03-15,Wales,England,2.0,3.0,Friendly,Wales,A
1880-03-27,Scotland,Wales,5.0,1.0,Friendly,Scotland,H
1881-02-26,England,Wales,0.0,1.0,Friendly,England,A
1881-03-12,England,Scotland,1.0,6.0,Friendly,England,A
1881-03-14,Wales,Scotland,1.0,5.0,Friendly,Wales,A
1882-02-18,Northern Ireland,England,0.0,13.0,Friendly,Northern Ireland,A
1882-02-25,Wales,Northern Ireland,7.0,1.0,Friendly,Wales,H
1882-03-11,Scotland,England,5.0,1.0,Friendly,Scotland,H
1882-03-13,Wales,England,5.0,3.0,Friendly,Wales,H
1882-03-25,Scotland,Wales,5.0,0.0,Friendly,Scotland,H
1883-02-03,England,Wales,5.0,0.0,Friendly,England,H
1883-02-24,England,Northern Ireland,7.0,0.0,Friendly,England,H
1883-03-10,England,Scotland,2.0,3.0,Friendly,England,A
1883-03-12,Wales,Scotland,0.0,3.0,Friendly,Wales,A
1883-03-17,Northern Ireland,Wales,1.0,1.0,Friendly,Northern Ireland,D
1884-01-26,Northern Ireland,Scotland,0.0,5.0,British Home Championship,Northern Ireland,A
1884-02-09,Wales,Northern Ireland,6.0,0.0,British Home Championship,Wales,H
1884-02-23,Northern Ireland,England,1.0,8.0,British Home Championship,Northern Ireland,A
1884-03-15,Scotland,England,1.0,0.0,British Home Championship,Scotland,H
1884-03-17,Wales,England,0.0,4.0,British Home Championship,Wales,A
1884-03-29,Scotland,Wales,4.0,1.0,British Home Championship,Scotland,H
1885-02-28,England,Northern Ireland,4.0,0.0,British Home Championship,England,H
1885-03-14,England,Wales,1.0,1.0,British Home Championship,England,D
1885-03-14,Scotland,Northern Ireland,8.0,2.0,British Home Championship,Scotland,H
1885-03-21,England,Scotland,1.0,1.0,British Home Championship,England,D
1885-03-23,Wales,Scotland,1.0,8.0,British Home Championship,Wales,A
1885-04-11,Northern Ireland,Wales,2.0,8.0,British Home Championship,Northern Ireland,A
1885-11-28,USA,Canada,0.0,1.0,Friendly,USA,A
1886-02-27,Wales,Northern Ireland,5.0,0.0,British Home Championship,Wales,H
1886-03-13,Northern Ireland,England,1.0,6.0,British Home Championship,Northern Ireland,A
1886-03-20,Northern Ireland,Scotland,2.0,7.0,British Home Championship,Northern Ireland,A
1886-03-27,Scotland,England,1.0,1.0,British Home Championship,Scotland,D
1886-03-29,Wales,England,1.0,3.0,British Home Championship,Wales,A
1886-04-10,Scotland,Wales,4.0,1.0,British Home Championship,Scotland,H
1886-11-25,USA,Canada,3.0,2.0,Friendly,USA,H
1887-02-05,England,Northern Ireland,7.0,0.0,British Home Championship,England,H
