world_cup,golden_ball,golden_boot,golden_boot_goals,golden_glove
1930 Uruguay,Not Awarded,Guillermo Stábile,8,Not Awarded
1934 Italy,Not Awarded,Oldřich Nejedlý,5,Not Awarded
1938 France,Not Awarded,Leônidas,7,Not Awarded
1950 Brazil,Not Awarded,Ademir,8,Not Awarded
1954 Switzerland,Not Awarded,Sándor Kocsis,11,Not Awarded
1958 Sweden,Not Awarded,Just Fontaine,13,Not Awarded
1962 Chile,Not Awarded,Flórián Albert Garrincha Vavá Valentin Ivanov Dražan Jerković Leonel Sánchez,4,Not Awarded
1966 England,Not Awarded,Eusébio,9,Not Awarded
1970 Mexico,Not Awarded,Gerd Müller,10,Not Awarded
1974 West Germany,Not Awarded,Grzegorz Lato,7,Not Awarded
1978 Argentina,Not Awarded,Mario Kempes,6,Not Awarded
1982 Spain,Paolo Rossi,Paolo Rossi,6,Not Awarded
1986 Mexico,Diego Maradona,Gary Lineker,6,Not Awarded
1990 Italy,Salvatore Schillaci,Salvatore Schillaci,6,Not Awarded
1994 United States,Romário,Oleg Salenko Hristo Stoichkov,6,Michel Preud'homme
1998 France,Ronaldo,Davor Šuker,6,Fabien Barthez
2002 South Korea/Japan,Oliver Kahn,Ronaldo,8,Oliver Kahn
2006 Germany,Zinedine Zidane,Miroslav Klose,5,Gianluigi Buffon
2010 South Africa,Diego Forlán,Thomas Müller,5,Iker Casillas
2014 Brazil,Lionel Messi,James Rodríguez,6,Manuel Neuer
2018 Russia,Luka Modrić,Harry Kane,6,Thibaut Courtois
2022 Qatar,Lionel Messi,Kylian Mbappé,8,Emiliano Martínez
